detector,dataset,granularity,metric,value
mock,toy_det,__overall__,granularity_sensitivity_index,0.14219697635827772
mock,toy_det,__overall__,normalized_gsi_to_standard,0.288089942714878
mock,toy_det,coarse,vocab_instability_cv,0.43433614966327905
mock,toy_det,coarse,vocab_worst10_map,0.11297337318520101
mock,toy_det,coarse,vocab_median_map,0.1347361427363996
mock,toy_det,counterfactual,vocab_instability_cv,0.0012714223622674525
mock,toy_det,counterfactual,vocab_worst10_map,0.49396274841951043
mock,toy_det,counterfactual,vocab_median_map,0.49488156996635724
mock,toy_det,fine,vocab_instability_cv,0.0024848317019922554
mock,toy_det,fine,vocab_worst10_map,0.49468715811186925
mock,toy_det,fine,vocab_median_map,0.4962335433878819
mock,toy_det,mixed,vocab_instability_cv,0.140420441708667
mock,toy_det,mixed,vocab_worst10_map,0.3480159825584146
mock,toy_det,mixed,vocab_median_map,0.4242853965908282
mock,toy_det,standard,vocab_instability_cv,0.001240106689335604
mock,toy_det,standard,vocab_worst10_map,0.4928048420021448
mock,toy_det,standard,vocab_median_map,0.4936909498078972
